user_id,first_story_timestamp,first_comment_timestamp,first_seen,story_count,comment_count,event_count
mattob,2020-11-11 19:16:08.000000 UTC,2020-11-11 19:16:08.000000 UTC,2020-11-11 19:16:08.000000 UTC,3,4,7
mbs348,2012-08-02 15:16:07.000000 UTC,2012-06-19 18:25:49.000000 UTC,2012-06-19 18:25:49.000000 UTC,5,45,61
merkat,2011-12-21 10:57:29.000000 UTC,2011-11-19 19:42:11.000000 UTC,2011-11-19 19:42:11.000000 UTC,1,5,6
mesome,,2013-06-03 23:46:36.000000 UTC,2013-06-03 23:46:36.000000 UTC,,1,1
mishap,,2013-10-02 23:19:36.000000 UTC,2013-10-02 23:19:36.000000 UTC,,1,1
mz23in,,2013-11-29 11:45:21.000000 UTC,2013-11-29 11:45:21.000000 UTC,,3,3
nehess,,2015-09-01 23:06:25.000000 UTC,2015-09-01 23:06:25.000000 UTC,,1,1
nimat9,2015-07-21 21:20:56.000000 UTC,2016-03-22 21:04:45.000000 UTC,2015-07-21 21:20:56.000000 UTC,4,1,5
osahun,,2022-06-02 07:20:23.000000 UTC,2022-06-02 07:20:23.000000 UTC,,1,1
pal_25,2016-05-12 16:28:07.000000 UTC,2016-05-12 16:33:22.000000 UTC,2016-05-12 16:28:07.000000 UTC,17,7,24
phiggy,2010-12-07 01:52:24.000000 UTC,2010-12-19 21:40:39.000000 UTC,2010-12-07 01:52:24.000000 UTC,63,6,69
piebob,,2014-03-02 19:17:21.000000 UTC,2014-03-02 19:17:21.000000 UTC,,2,2
pikkaB,2019-04-02 14:21:55.000000 UTC,2019-03-24 20:22:24.000000 UTC,2019-03-24 20:22:24.000000 UTC,1,1,2
pleo__,,2022-11-01 18:12:07.000000 UTC,2022-11-01 18:12:07.000000 UTC,,1,1
quim05,,2013-12-13 13:24:28.000000 UTC,2013-12-13 13:24:28.000000 UTC,,6,6
reh297,,2008-12-27 12:05:46.000000 UTC,2008-12-27 12:05:46.000000 UTC,,1,1
ryuran,,2008-07-24 16:12:50.000000 UTC,2008-07-24 16:12:50.000000 UTC,,1,1
s_luna,,2020-02-21 16:29:26.000000 UTC,2020-02-21 16:29:26.000000 UTC,,1,1
sct202,2018-03-22 19:51:32.000000 UTC,2017-11-30 22:28:32.000000 UTC,2017-11-30 22:28:32.000000 UTC,1,906,907
talian,,2015-01-04 21:24:20.000000 UTC,2015-01-04 21:24:20.000000 UTC,,5,5
tetrep,2014-03-10 15:25:51.000000 UTC,2013-06-26 22:57:07.000000 UTC,2013-06-26 22:57:07.000000 UTC,18,321,339
u2c4m6,,2021-10-05 23:47:28.000000 UTC,2021-10-05 23:47:28.000000 UTC,,9,9
vibbix,,2022-05-07 15:47:47.000000 UTC,2022-05-07 15:47:47.000000 UTC,,1,1
webjpa,,2020-08-28 17:44:03.000000 UTC,2020-08-28 17:44:03.000000 UTC,,2,2
whenov,,2016-02-07 08:32:36.000000 UTC,2016-02-07 08:32:36.000000 UTC,,4,4
wwayer,2015-12-23 16:30:14.000000 UTC,2015-11-03 15:50:06.000000 UTC,2015-11-03 15:50:06.000000 UTC,5,24,29
x86_64,2011-11-20 08:06:37.000000 UTC,2011-11-24 09:07:16.000000 UTC,2011-11-20 08:06:37.000000 UTC,8,9,17
zeluve,,2016-11-08 01:35:51.000000 UTC,2016-11-08 01:35:51.000000 UTC,,5,5
zezewn,,2017-12-26 15:52:29.000000 UTC,2017-12-26 15:52:29.000000 UTC,,1,1
AWalrus,,2012-08-23 13:36:11.000000 UTC,2012-08-23 13:36:11.000000 UTC,,3,3
AdelH45,2014-07-15 20:46:15.000000 UTC,2014-04-15 21:47:29.000000 UTC,2014-04-15 21:47:29.000000 UTC,1,1,2
Anetcom,2015-04-02 22:18:18.000000 UTC,2015-04-02 22:24:31.000000 UTC,2015-04-02 22:18:18.000000 UTC,2,1,3
ElliotA,,2019-03-04 19:54:17.000000 UTC,2019-03-04 19:54:17.000000 UTC,,2,2
JJColao,2011-02-28 09:35:42.000000 UTC,2012-07-12 02:47:28.000000 UTC,2011-02-28 09:35:42.000000 UTC,29,6,35
JunoNgx,,2021-07-14 09:55:52.000000 UTC,2021-07-14 09:55:52.000000 UTC,,1,1
MolHill,,2021-04-10 00:57:36.000000 UTC,2021-04-10 00:57:36.000000 UTC,,2,2
PandaMX,,2015-06-12 08:58:22.000000 UTC,2015-06-12 08:58:22.000000 UTC,,1,1
Ptrulli,2019-08-29 15:03:34.000000 UTC,2019-10-02 12:46:02.000000 UTC,2019-08-29 15:03:34.000000 UTC,30,33,63
Shaping,,2010-04-26 23:13:45.000000 UTC,2010-04-26 23:13:45.000000 UTC,,1,1
Vardhan,,2013-10-19 21:09:25.000000 UTC,2013-10-19 21:09:25.000000 UTC,,11,11
alzamos,,2022-06-26 08:46:58.000000 UTC,2022-06-26 08:46:58.000000 UTC,,2,2
andre-m,,2017-12-21 16:50:56.000000 UTC,2017-12-21 16:50:56.000000 UTC,,3,3
apollo_,2014-08-19 12:59:52.000000 UTC,2016-11-18 14:21:19.000000 UTC,2014-08-19 12:59:52.000000 UTC,1,7,8
awayand,2013-01-05 00:54:17.000000 UTC,2011-08-07 06:52:50.000000 UTC,2011-08-07 06:52:50.000000 UTC,2,39,41
bluemoo,,2007-02-25 21:27:24.000000 UTC,2007-02-25 21:27:24.000000 UTC,,8,8
bm2yogi,,2017-06-30 19:57:42.000000 UTC,2017-06-30 19:57:42.000000 UTC,,1,1
burajin,,2020-04-17 23:43:33.000000 UTC,2020-04-17 23:43:33.000000 UTC,,1,1
chungpv,2022-09-23 06:50:57.000000 UTC,2022-09-23 06:50:57.000000 UTC,2022-09-23 06:50:57.000000 UTC,1,1,2
cjenken,2022-02-10 19:32:03.000000 UTC,2015-11-15 20:45:22.000000 UTC,2015-11-15 20:45:22.000000 UTC,1,5,6
clogva1,,2020-06-09 13:55:39.000000 UTC,2020-06-09 13:55:39.000000 UTC,,1,1
cmcluck,2016-11-17 16:15:29.000000 UTC,2015-04-23 18:26:48.000000 UTC,2015-04-23 18:26:48.000000 UTC,3,15,18
davidb_,2016-02-05 19:45:01.000000 UTC,2012-07-01 03:54:51.000000 UTC,2012-07-01 03:54:51.000000 UTC,1,36,37
debdrup,,2017-08-22 13:29:29.000000 UTC,2017-08-22 13:29:29.000000 UTC,,9,9
demlulz,,2013-05-18 06:58:34.000000 UTC,2013-05-18 06:58:34.000000 UTC,,1,1
disport,,2020-10-06 21:48:35.000000 UTC,2020-10-06 21:48:35.000000 UTC,,4,4
donatzm,,2016-02-21 17:10:49.000000 UTC,2016-02-21 17:10:49.000000 UTC,,1,1
doobley,,2013-04-28 19:11:18.000000 UTC,2013-04-28 19:11:18.000000 UTC,,5,5
dr_mork,2021-12-23 12:20:20.000000 UTC,2021-12-23 19:26:37.000000 UTC,2021-12-23 12:20:20.000000 UTC,9,3,12
drachel,,2014-05-06 12:50:27.000000 UTC,2014-05-06 12:50:27.000000 UTC,,1,1
easeout,2022-07-01 02:17:30.000000 UTC,2022-06-26 00:04:18.000000 UTC,2022-06-26 00:04:18.000000 UTC,1,15,16
enorlin,,2007-05-10 18:38:16.000000 UTC,2007-05-10 18:38:16.000000 UTC,,1,1
ffrryuu,2013-11-04 23:54:21.000000 UTC,2013-09-05 20:09:48.000000 UTC,2013-09-05 20:09:48.000000 UTC,6,194,200
fgrinda,,2008-07-28 14:30:23.000000 UTC,2008-07-28 14:30:23.000000 UTC,,3,3
foo2020,,2020-06-03 12:31:18.000000 UTC,2020-06-03 12:31:18.000000 UTC,,3,3
froball,,2012-09-16 16:59:34.000000 UTC,2012-09-16 16:59:34.000000 UTC,,1,1
hayalci,,2020-12-20 10:38:14.000000 UTC,2020-12-20 10:38:14.000000 UTC,,3,3
henriks,,2012-06-21 10:02:30.000000 UTC,2012-06-21 10:02:30.000000 UTC,,34,34
